vuln_id,vuln_name,severity,description,affected_url,recommendation,ml_pred_label,ml_confidence,confidence_group,prediction_match
VULN-001,SQL Injection,Critical,Potential security vulnerability,https://example.com/page1,Apply security patches,Critical,0.971,High Confidence,True
VULN-002,XSS,High,Potential security vulnerability,https://example.com/page2,Apply security patches,Critical,0.633,Medium Confidence,False
VULN-003,CSRF,Medium,Potential security vulnerability,https://example.com/page3,Apply security patches,Medium,0.818,Medium Confidence,True
VULN-004,Info Disclosure,Low,Potential security vulnerability,https://example.com/page4,Apply security patches,Low,0.86,High Confidence,True
VULN-005,Broken Authentication,High,Potential security vulnerability,https://example.com/page5,Apply security patches,High,0.917,High Confidence,True
VULN-006,Sensitive Data Exposure,Medium,Potential security vulnerability,https://example.com/page6,Apply security patches,Medium,0.93,High Confidence,True
VULN-007,XXE,Critical,Potential security vulnerability,https://example.com/page7,Apply security patches,Critical,0.471,Low Confidence,True
VULN-008,Insecure Deserialization,High,Potential security vulnerability,https://example.com/page8,Apply security patches,High,0.855,High Confidence,True
VULN-009,Security Misconfig,Medium,Potential security vulnerability,https://example.com/page9,Apply security patches,Medium,0.878,High Confidence,True
VULN-010,Insufficient Logging,Low,Potential security vulnerability,https://example.com/page10,Apply security patches,Low,0.91,High Confidence,True
